part_id,name,category,stud_x,stud_y,height_units,active
43719,Wedge Plate 4 x 4 with 2 x 2 Cutout,Plates Angled,4,4,1,false
26599,Plate Special 2 x 4 with 2 Pin Holes,Plates Special,2,4,1,true
4590,Plate Special 1 x 4 Offset with Bar Holes,Plates Special,1,4,1,true
21445,"Plate Special 1 x 2 with Wheel Holder, Single Slit",Plates Special,1,2,1,true
52031,Slope Curved 4 x 6 x 2/3 Triple Curved with 4 Studs,Bricks Curved,4,6,2/3,true
13971,Wheel 18 x 8 with Fake Bolts and Deep Spokes with Inner Ring,Wheels and Tyres,18,8,1,false
50305,"Wedge Plate 8 x 3, 22° Left",Plates Angled,8,3,1,false
42918,Slope Curved 8 x 2 No Studs,Bricks Curved,8,2,1,true
53119,Plate Round 1 x 1 Swirled Top / Poo,Plates Round Curved and Dishes,1,1,1,true
15209,Tile Special 1 x 2 with Two Vertical Teeth / Tooth,Tiles Special,1,2,1,true
18977,Tyre 24 x 12 Low Profile,Wheels and Tyres,24,12,1,false
30044,Window 1 x 2 x 2 2/3 with Rounded Top,Windows and Doors,1,2,2,true
32271,Technic Beam 1 x 9 Bent (7 - 3) Thick,Technic Beams,1,9,1,false
25375,Tassel with 1 x 1 Round Stud,Minifig Accessories,1,1,1,false
62113,Bar 1 x 4 x 3 [End Tabs],"Bars, Ladders and Fences",1,4,3,true
76766,"Bracket 5 x 2 x 2 1/3 with Holes, Inside Stud Holder",Bricks Special,5,2,2,true
73109,Technic Brick Special 1 x 2 with Pin Hole and 1 x 2 Plate,Technic Bricks,1,2,1,false
30504,Wedge Plate 8 x 8 Cut Corner,Plates Angled,8,8,1,false
3743,Technic Gear Rack 1 x 4,Technic Gears,1,4,1,false
30562,Panel 4 x 4 x 6 Quarter Cylinder,Panels,4,4,6,true
49311,Brick 1 x 4 x 3,Bricks,1,4,3,true
32802,Slope Inverted 45° 4 x 1 Double with 1 x 2 Recessed,Bricks Sloped,4,1,1,true
88293,Brick Round Corner 3 x 3 x 2 Dome Top,Bricks Round and Cones,3,3,2,true
27448,Turntable 2 x 2 Female,"Hinges, Arms and Turntables",2,2,1,true
43045,Hinge Plate 2 x 4 with Pin Hole with 2 Holes - Top,"Hinges, Arms and Turntables",2,4,1,true
52501,Slope Inverted 45° 6 x 1 Double with 1 x 4 Recessed,Bricks Sloped,6,1,1,true
92099,Plate Special 4 x 6 with Trap Door Hinge [Long Pins],"Hinges, Arms and Turntables",4,6,1,true
38585,Brick Special Arch 1 1/2 x 1 1/2 Corner,Bricks Curved,2,1,1,true
60603,Glass for Window 1 x 4 x 3 [Opening],Windows and Doors,1,4,3,true
30663,"Steering Wheel Small, 2 x 2",Transportation - Land,2,2,1,true
60032,"Window 1 x 2 x 2 Plane, Hollow Studs, Single Hole Top and Bottom for Glass",Windows and Doors,1,2,2,true
85941,Cylinder Half 2 x 4 x 5 with 1 x 2 cutout,Bricks Round and Cones,2,4,5,true
2489,Barrel 2 x 2 x 2,Containers,2,2,2,true
4536,Cupboard 2 x 3 Drawer,Containers,2,3,1,true
41948,Plate 8 x 8 with Rounded End,Plates Round Curved and Dishes,8,8,1,true
95347,"Support 2 x 2 x 10 Girder Triangular Vertical - Type 4 - 3 Posts, 3 Sections","Supports, Girders and Cranes",2,2,10,true
60219,Slope Inverted 45° 6 x 4 Double with 4 x 4 Recessed and 3 Holes,Bricks Sloped,6,4,1,true
50861,Tyre 21 x 6 City Motorcycle,Wheels and Tyres,21,6,1,false
48169,"Technic Brick Special 2 x 2 with Pin Hole, Rotation Joint Socket",Technic Special,2,2,1,false
61780,Container Box 2 x 2 x 2 - Top Opening,Containers,2,2,2,true
65803,Brick Special 16 x 16 x 1 1/3 with Pinholes,Bricks Special,16,16,1,true
58090,Tyre 30.4 x 14 VR Solid,Wheels and Tyres,4,14,1,false
4445,Slope 45° 2 x 8,Bricks Sloped,2,8,1,true
2655,"Wheel Holder, Plate, Round 2 x 2 Thin with Clips",Transportation - Land,2,2,1,true
65617,Brick Round Corner 3 x 3 x 1 No Studs,Bricks Round and Cones,3,3,1,true
3675,Slope 33° 3 x 3 Double Convex,Bricks Sloped,3,3,1,true
50862,Wheel Centre 15 x 6 City Motorcycle with Stub Axles,Wheels and Tyres,15,6,1,false
30150,Box / Crate with Handholds 3 x 4 x 1 2/3,Containers,3,4,1,true
48208,Wedge Plate 6 x 4 Left,Plates Angled,6,4,1,false
45677,Slope Curved 4 x 4 x 2/3 Triple Curved with 2 Studs,Bricks Curved,4,4,2/3,true
30046,Window 1 x 2 x 2 2/3 Pane Lattice Diamond with Rounded Top,Windows and Doors,1,2,2,true
71752,Plate Special 2 x 2 x 2/3 with Axle Hole and Grill on Sides (Haybale),Plates Special,2,2,2/3,true
44568,Hinge Plate 1 x 4 Locking Dual 1 Finger,"Hinges, Arms and Turntables",1,4,1,true
61254,Tyre Offset Tread with Center Band 23 x 7,Wheels and Tyres,23,7,1,false
32555,Technic Brick 5 x 5 Right Angle (1 x 4 - 1 x 4),Technic Bricks,5,5,1,false
48205,Wedge Plate 6 x 4 Right,Plates Angled,6,4,1,false
4175,Plate Special 1 x 2 with Ladder,Plates Special,1,2,1,true
24119,Technic Panel Curved 7 x 3 with 2 Pin Holes through Panel Surface,Technic Panels,7,3,1,false
64570,Bracket 2 x 6 - 1 x 6 Inverted,Plates Special,2,6,1,true
32059,Wedge Plate 4 x 6 Cut Corners,Plates Angled,4,6,1,false
15397,Plate 3 x 3 Cross,Plates,3,3,1,true
4863,"Window 1 x 4 x 2 Plane, Solid Studs",Windows and Doors,1,4,2,true
3940b,Support Round 2 x 2 x 2 Stand with Reach-Through Center Hole,"Supports, Girders and Cranes",2,2,2,true
43710,Wedge Sloped 4 x 2 Triple Left,Bricks Wedged,4,2,1,true
3027,Plate 6 x 16,Plates,6,16,1,true
67810,"Brick Curved 2 x 2 x 1 1/3 Curved Top, Corner",Bricks Curved,2,2,1,true
60212,"Wheel Arch, Mudguard 2 x 4 Studded with Hole",Transportation - Land,2,4,1,true
92409,Tyre 17.5 x 6 with Shallow Staggered Treads and Middle Band,Wheels and Tyres,5,6,1,false
71708,Technic Beam 2 x 3 L-Shape with Quarter Ellipse Thick,Technic Beams,2,3,1,false
32932,Fence 1 x 4 x 2 Ornamental Asian Lattice Square with 4 Studs,"Bars, Ladders and Fences",1,4,2,true
66789,Plate Round Corners 6 x 6 x 2/3 Circle with Reduced Knobs,Plates Round Curved and Dishes,6,6,2/3,true
2825,Technic Beam 1 x 4 Thin with Stud Connector,Technic Beams,1,4,1,false
6187,Bar 1 x 4 x 2,"Bars, Ladders and Fences",1,4,2,true
3676,Slope Inverted 45° 2 x 2 Double Convex,Bricks Sloped,2,2,1,true
4595,Brick Special 1 x 2 x 2/3 with Studs on Sides,Bricks Special,1,2,2/3,true
3185,Fence Lattice 1 x 4 x 2,"Bars, Ladders and Fences",1,4,2,true
93604,Slope Curved 3 x 4 x 2/3 Triple Curved with 2 Sunk Studs,Bricks Curved,3,4,2/3,true
24116,Technic Panel Curved and Bent 6 x 3,Technic Panels,6,3,1,false
32324,Technic Brick 4 x 4 with 2 x 2 Opening,Technic Bricks,4,4,1,false
6020,Bar 7 x 3 with Double Clips (Ladder) [Straight Clips],"Bars, Ladders and Fences",7,3,1,true
32249,Technic Beam 3 x 3 L-Shape with Quarter Ellipse Thin,Technic Beams,3,3,1,false
43713,Wedge Curved Inverted 6 x 4,Bricks Wedged,6,4,1,true
72454,"Slope Inverted 45° 4 x 4 Double with 4 x 2 Recessed, 2 Holes",Bricks Sloped,4,4,1,true
87617,Cylinder 1 x 5 1/2 with Handle (Friction Cylinder),"Bars, Ladders and Fences",1,5,1,true
43056,Hinge Plate 2 x 4 with Pin Hole with 2 Holes - Bottom,"Hinges, Arms and Turntables",2,4,1,true
63082,"Plate Special 2 x 2 with Towball Socket, Short, Flattened with Holes and Axle Hole in Center",Plates Special,2,2,1,true
30586,Plate Special 2 x 8 with Door Rail,Plates Special,2,8,1,true
60607,Window 1 x 2 x 3 Pane Latticed with Thick Corner Tabs,Windows and Doors,1,2,3,true
11291,Wedge Curved 3 x 4 x 2/3 Cutout,Bricks Wedged,3,4,2/3,true
73507,Technic Beam 1 x 11 Thick with Alternating Holes,Technic Beams,1,11,1,false
4533,Cupboard 2 x 3 x 2 Door,Containers,2,3,2,true
14413,Wedge 4 x 4 Facet,Bricks Wedged,4,4,1,true
18759,Slope Inverted 45° 3 x 1 Double with 2 Blocked Open Studs,Bricks Sloped,3,1,1,true
38583,Brick Special Arch 1 x 2 Jumper,Bricks Curved,1,2,1,true
95188,Brick Round Corner 6 x 6 with 33° Slope and Facet Cutout,Bricks Round and Cones,6,6,1,true
24593,Cylinder Half 2 x 4 x 2 with 1 x 2 Cutout,Bricks Round and Cones,2,4,2,true
61072,Plate Special 1 x 4 with Angled Tubes,Plates Special,1,4,1,true
67095,Tile Round 3 x 3,Tiles Round and Curved,3,3,1,true
92692,Plate Special 1 x 2 with Angled Handles on Side,Plates Special,1,2,1,true
18976,Wheel 18 x 12 with Axle Hole and Stud,Wheels and Tyres,18,12,1,false
55615,Technic Pin Connector Hub Perpendicular 3 x 3 Bent with 4 Pins (Pin Ridges Across Part),Technic Connectors,3,3,1,false
47755,"Wheel Arch, Curved Wedge 4 x 3 with 2 x 2 Opening and 4 Studs",Transportation - Land,4,3,1,true
41748,"Wedge Curved 6 x 2 Left, Inner Ridges",Bricks Wedged,6,2,1,true
62361,"Wheel Arch, Mudguard, 1 1/2 x 6 x 1 [Arch Extended]",Transportation - Land,2,6,1,true
6259,Cylinder Half 2 x 4 x 4,Bricks Round and Cones,2,4,4,true
33492,Cone 1 1/2 x 1 1/2 x 2/3,Bricks Round and Cones,2,1,1,true
56890,Tyre 24 x 12 R Balloon,Wheels and Tyres,24,12,1,false
51239,Window Frame 1 x 3 x 3,Windows and Doors,1,3,3,true
41747,"Wedge Curved 6 x 2 Right, Inner Ridges",Bricks Wedged,6,2,1,true
43711,Wedge Sloped 4 x 2 Triple Right,Bricks Wedged,4,2,1,true
79987,Plate Special 1 x 3 with 2 Clips on Top,Plates Special,1,3,1,true
6233,Cone 3 x 3 x 2,Bricks Round and Cones,3,3,2,true
3685,Slope 75° 2 x 2 x 3 Double Convex,Bricks Sloped,2,2,3,true
99784,Bar 1 x 12 with 1 x 2 Plate End with Hollow Studs and 1 x 1 Round Plate End,"Bars, Ladders and Fences",1,12,1,true
53540,"Brick Special 1 x 2 with 2 Pins, Square Pin Holes",Bricks Special,1,2,1,true
6183,Brick Arch 1 x 6 x 2 Curved Top,Bricks Curved,1,6,2,true
4735,Bar 1 x 3 [Clip / Anti-Stud],"Bars, Ladders and Fences",1,3,1,true
41854,Mudguard 2 x 4 with 2 x 2 Studs and Flared Wings,Transportation - Land,2,4,1,true
19121,Fence Ornamented 1 x 4 x 2 with 4 Studs,"Bars, Ladders and Fences",1,4,2,true
3956,Bracket 2 x 2 - 2 x 2,Plates Special,2,2,1,true
